Name,Gender
Johnny Mercer (politician),Male
"Richard Allan, Baron Allan of Hallam",Male
Willie Rennie,Male
Stephen Phillips (British politician),Male
Alistair Darling,Male
Mhairi Black,Male
Caroline Johnson,Female
Glenda Jackson,Female
James Duddridge,Male
Hazel Blears,Female
Helen Goodman,Female
Barbara Follett (politician),Female
Austin Mitchell,Male
Gregory Campbell (politician),Male
Tony McNulty,Male
Andrew George (politician),Male
Ranil Jayawardena,Male
Duncan Hames,Male
Terry Lewis (politician),Male
Caroline Ansell,Female
Sharon Hodgson,Female
Peter Lilley,Male
Ian Mearns,Male
Frank Cook (politician),Male
Stephen Flynn (Scottish politician),Male
Stephen Hepburn,Male
Kate Green,Female
Andy Love,Male
Joyce Quin,Female
Jo Cox,Female
Kevin Hughes (politician),Male
Victoria Borwick,Female
Eric Ollerenshaw,Male
Victoria Prentis,Female
Ian Levy,Male
Paul Girvan,Male
Fay Jones (politician),Female
Rob Flello,Male
Ivor Caplin,Male
John Barrett (Scottish politician),Male
Brooks Newmark,Male
Damian Hinds,Male
Nick Brown,Male
Philip Hollobone,Male
Chris Law,Male
Dehenna Davison,Female
Kenny MacAskill,Male
John McWilliam,Male
Mark Oaten,Male
Rebecca Harris,Female
"Frank Field, Baron Field of Birkenhead",Male
Jared O'Mara,Male
"Derek Foster, Baron Foster of Bishop Auckland",Male
Luke Evans (politician),Male
Neil Parish,Male
Gemma Doyle (politician),Female
"Paul Murphy, Baron Murphy of Torfaen",Male
Amanda Milling,Female
Ian Paisley,Male
Harry Cohen,Male
David Curry,Male
Damian Green,Male
Ed Balls,Male
Alan Campbell (politician),Male
Yvonne Fovargue,Female
Tony Colman (politician),Male
Charlotte Atkins,Female
Jack Lopresti,Male
Stephen Gethins,Male
Lisa Forbes (politician),Female
Jack Dromey,Male
Colum Eastwood,Male
Ian Austin,Male
Jim Dowd (politician),Male
Tristram Hunt,Male
Neil Gerrard,Male
Alan Mak (politician),Male
Neale Hanvey,Male
David Duguid (politician),Male
Sandra Gidley,Female
Tessa Munt,Female
Jim McMahon (politician),Male
Jesse Norman,Male
Kenneth Clarke,Male
Fiona Onasanya,Female
Judith Cummins,Female
Adrian Flook,Male
Colin Breed,Male
Parmjit Dhanda,Male
Mark Hendrick,Male
Willie Bain,Male
Stephen Kerr,Male
Seamus Mallon,Male
Chris Hazzard,Male
Rob Butler (politician),Male
Iain Coleman,Male
James Arbuthnot,Male
Quentin Davies,Male
Andy Reed (politician),Male
Sarah Newton,Female
Kemi Badenoch,Male
Ivan Henderson,Male
James Plaskitt,Male
Mickey Brady,Male
Amy Callaghan,Female
David Amess,Male
Vicky Foxcroft,Female
David Jones (Clwyd West MP),Male
Nic Dakin,Male
Wera Hobhouse,Female
Nick Hurd,Male
Elfyn Llwyd,Male
Stephen Metcalfe (politician),Male
Deidre Brock,Female
Graeme Morrice,Male
Chris Davies (Conservative politician),Male
Callum McCaig,Male
Mary Macleod,Female
Nadine Dorries,Female
Jonathan Lord,Male
Jonathan Gullis,Male
Harry Barnes (Labour politician),Male
Julian Brazier,Male
Shahid Malik,Male
Jim Cousins,Male
Eric Pickles,Male
Sue Hayman,Female
Yvette Cooper,Female
Angela Eagle,Female
Irene Adams,Female
Paul Daisley,Male
Alicia Kearns,Female
John Greenway (British politician),Male
Glyn Davies (politician),Male
Frank Doran (British politician),Male
Oliver Heald,Male
Peter Duncan (British politician),Male
Helen Morgan (politician),Female
Jeremy Corbyn,Male
Kit Malthouse,Male
Paula Barker,Female
Nigel Huddleston,Male
Leo Docherty,Male
Paul Farrelly,Male
Conor Murphy,Male
Alex Cunningham,Male
Roy Beggs,Male
Vicky Ford,Male
Adam Ingram (Labour politician),Male
Anneliese Dodds,Female
Michael Fabricant,Male
Vernon Coaker,Male
Mike Hancock (British politician),Male
John Bercow,Male
Chris Huhne,Male
Mark Hoban,Male
Alan Reid (politician),Male
Sarah Owen,Female
"Don Foster, Baron Foster of Bath",Male
Tom Cox (British politician),Male
Fabian Hamilton,Male
Jess Phillips,Female
David Hinchliffe,Male
Phil Hope,Male
Eric Illsley,Male
Jonathan Ashworth,Male
Mike Hall (British politician),Male
Mary Creagh,Female
Linda Gilroy,Female
Stephen Crabb,Male
Nigel Beard,Male
Guy Opperman,Male
Doug Naysmith,Male
